Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Points,Heart Minutes,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Dancing duration (ms),Treadmill running duration (ms),Swimming duration (ms),Yoga duration (ms)
2019-11-26,1757.0687230239628,6193.381562918425,42.3000341,-71.1218083,42.3795036,-71.0300642,1.0188579380641312,13.009427070617676,0.0659923255443573,9688,,,,102,40.0,40,,72953539,5145986,,,,,
2019-11-27,1833.7254370445,6544.639925864525,42.3123267,-71.083223,42.3963028,-71.0353658,1.3917887618117968,20.08443832397461,0.06567811965942383,10959,,,,126,51.0,51,,68913952,5677357,407513,,,,
2019-11-28,1622.010093137582,2369.938532695174,42.6300927,-70.9210216,42.6324099,-70.9199934,1.9832498204891005,28.392475128173828,0.12147685140371323,4335,,,,50,6.0,6,129922,70215153,2663242,,,,,
2019-11-29,1505.2218980290413,600.7711371183395,,,,,1.1960807461531742,17.95244789123535,0.17455585300922394,1336,,,,13,,,,78611451,671863,,,,,
2019-11-30,1798.4607027964967,5283.521102041006,42.3500286,-71.0799653,42.3957699,-71.0549817,1.2921191729444697,15.961548805236816,0.007236836478114128,8661,,,,108,37.0,37,465639,75320182,5256704,69024,,,,
2019-12-01,1546.3320075244774,1796.4821217358112,,,,,1.295186947804884,13.611530303955078,0.13027508556842804,3026,,,,36,6.0,6,,79455941,1413238,,,,,
2019-12-02,1697.527310195876,3920.969602137804,42.3116538,-71.0601223,42.35908,-71.0366532,1.0459281944803662,10.826111793518066,0.1206248551607132,6908,,,,78,27.0,27,,74624227,4157441,,,,,
2019-12-03,1653.034235248654,2444.369922541082,42.204473,-71.1774515,42.2317888,-71.1527031,1.6511546754235757,32.049983978271484,0.01401212066411972,5134,,,,63,7.0,7,,69976921,3368012,,,,,
2019-12-04,1637.6426734154338,3553.665962630883,42.3117468,-71.1185113,42.3826263,-71.035081,1.1218572938522111,24.75943946838379,0.09097310900688171,5524,,,,58,23.0,23,,73753810,2987205,,,,,
2019-12-05,1746.9024969493798,5747.710638791323,42.3309726,-71.1188912,42.3791675,-71.1119822,0.9462086127500015,18.663055419921875,0.149180606007576,9187,,,,101,37.0,37,,71599149,5035441,,,,,
2019-12-06,1661.326496412182,4410.4816059321165,42.3126173,-71.0633247,42.3567569,-71.0349762,0.959147648870053,10.586151123046875,0.03785916045308113,7755,,,,85,25.0,25,,73192928,3517891,,,,,
2019-12-07,1620.6878958636046,4075.284185445402,42.330748,-71.1236528,42.3498648,-71.0772522,1.0947384780182954,12.512542724609375,0.10487651824951172,7338,,,,88,16.0,14,,70545043,2561436,61728,,,,
2019-12-08,1561.9162095179156,1739.830275952816,,,,,0.9421869784681837,18.078977584838867,0.13448847830295563,3255,,,,30,11.0,11,,79893014,1705988,,,,,
2019-12-09,1642.837744051343,3289.5421636737883,42.3121281,-71.0383616,42.3126341,-71.0375679,1.0253414006288903,17.604637145996094,0.09034015238285065,5909,,,,70,20.0,20,,78502418,3155480,,,,,
