Book_ID,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Page_Number,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_With_Positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
13526165,"Where'd You Go, Bernadette",Maria Semple,"Semple, Maria",,0316204277,9780316204279,4,3.9,"Little, Brown and Company",Hardcover,330,2012,2012,12/27/2013,11/21/2013,,,read,,,,1,,,0,,,,,
3213286,Let It Snow: Three Holiday Romances,John Green,"Green, John","Maureen Johnson, Lauren Myracle",0142412147,9780142412145,3,3.8,Speak,Paperback,352,2008,2008,1/2/2014,10/30/2013,,,read,,,,1,,,0,,,,,
15715844,How to Lead a Life of Crime,Kirsten Miller,"Miller, Kirsten",,1595145184,9781595145185,2,3.92,Razorbill,Hardcover,434,2013,2013,3/11/2014,3/11/2014,,,read,,,,1,,,0,,,,,
963274,A Company of Swans,Eva Ibbotson,"Ibbotson, Eva",,0142409405,9780142409404,4,3.98,Speak,Paperback,374,2007,1985,4/13/2014,10/4/2013,,,read,,,,1,,,0,,,,,
10757749,Bunheads,Sophie Flack,"Flack, Sophie",,0316126535,9780316126533,4,3.73,Poppy,Hardcover,294,2011,2011,4/13/2014,4/13/2014,,,read,,,,1,,,0,,,,,
4136,Holidays on Ice,David Sedaris,"Sedaris, David",,0316191299,9780316191296,5,3.93,Little Brown & Co (P),Paperback,176,1998,1997,12/19/2013,8/17/2014,,,read,,,,1,,,0,,,,,
10176,Dress Your Family in Corduroy and Denim,David Sedaris,"Sedaris, David",,0965904830,9780965904834,3,4.1,Little Brown & Co.,Paperback,272,2004,2004,8/17/2014,8/17/2014,,,read,,,,1,,,0,,,,,
18076191,The Son of Sobek (Percy Jackson & Kane Chronicles Crossover #1),Rick Riordan,"Riordan, Rick",,,,5,4.26,Disney Hyperion,Kindle Edition,40,2013,2013,8/17/2014,6/21/2014,,,read,,,,1,,,0,,,,,
13573593,Big Nate Makes the Grade,Lincoln Peirce,"Peirce, Lincoln",,1449425666,9781449425661,3,4.45,Andrews McMeel Publishing,Paperback,224,2012,2012,8/17/2014,7/18/2014,,,read,,,,1,,,0,,,,,
11810126,Big Nate: What Could Possibly Go Wrong?,Lincoln Peirce,"Peirce, Lincoln",,0062086944,9780062086945,3,4.44,HarperCollins,Paperback,224,2012,2012,8/17/2014,7/18/2014,,,read,,,,1,,,0,,,,,
17570175,Big Nate: I Can't Take It!,Lincoln Peirce,"Peirce, Lincoln",,1449429378,9781449429379,3,4.4,Andrews McMeel Publishing,Paperback,224,2013,2013,8/17/2014,7/18/2014,,,read,,,,1,,,0,,,,,
15728577,Side Effects May Vary,Julie   Murphy,"Murphy, Julie",,,,2,3.45,HarperCollins/ Balzer + Bray,Kindle Edition,336,2014,2014,8/17/2014,8/17/2014,,,read,,,,1,,,0,,,,,
11983920,Tessa Masterson Will Go to Prom,Emily Franklin,"Franklin, Emily",Brendan Halpin,0802723594,9780802723598,4,3.8,Walker Childrens,Paperback,257,2013,2012,,5/18/2014,,,read,,,,1,,,0,,,,,
20801166,A Little Something Different,Sandy   Hall,"Hall, Sandy",,1250061776,9781250061775,0,3.63,Swoon Reads,ebook,272,2014,2014,,8/14/2014,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
17834904,"The Dead in Their Vaulted Arches (Flavia de Luce, #6)",Alan Bradley,"Bradley, Alan",,0385344058,9780385344050,3,4.17,Delacorte Press,Hardcover,310,2014,2014,3/11/2014,1/6/2014,,,read,,,,1,,,0,,,,,
18209290,Astonish Me,Maggie Shipstead,"Shipstead, Maggie",,0307962903,9780307962904,0,3.57,Knopf,Hardcover,261,2014,2014,,7/26/2014,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
119324,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"Pullman, Philip",,0679879250,9780679879251,3,4.12,Knopf Books for Young Readers,Hardcover,326,1997,1997,7/26/2014,7/20/2014,,,read,,,,1,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,0679879242,9780679879244,3,3.96,Alfred A. Knopf Books for Young Readers,Hardcover,399,1996,1995,7/26/2014,7/20/2014,,,read,,,,1,,,0,,,,,
18698801,Big Nate Laugh-O-Rama,Lincoln Peirce,"Peirce, Lincoln",,0062111167,9780062111166,1,4.46,HarperCollins,Paperback,224,2014,2014,,7/18/2014,,,read,,,,1,,,0,,,,,
18875078,Big Nate Makes a Splash (amp! Comics for Kids),Lincoln Peirce,"Peirce, Lincoln",,,,3,4.27,"Andrews McMeel Publishing, LLC",Kindle Edition,55,2013,2003,,7/18/2014,,,read,,,,1,,,0,,,,,
18053136,"Big Nate: In the Zone (Big Nate Novels, #6)",Lincoln Peirce,"Peirce, Lincoln",,0062299719,9780062299710,3,4.48,HarperCollins,Audiobook,0,2014,2014,,7/18/2014,,,read,,,,1,,,0,,,,,
7150178,"Big Nate: In a Class by Himself (Big Nate Novels, #1)",Lincoln Peirce,"Peirce, Lincoln",,0061944343,9780061944345,3,4.19,HarperCollins,Hardcover,224,2010,2010,,7/18/2014,,,read,,,,1,,,0,,,,,
12092375,"Big Nate Goes for Broke (Big Nate Novels, #4)",Lincoln Peirce,"Peirce, Lincoln",Sasha Illingworth,0061996610,9780061996610,3,4.43,HarperCollins,Hardcover,224,2012,2012,,7/18/2014,,,read,,,,1,,,0,,,,,
9529502,"Big Nate on a Roll (Big Nate Novels, #3)",Lincoln Peirce,"Peirce, Lincoln",,0061944394,9780061944390,3,4.34,HarperCollins,Hardcover,224,2011,2011,,7/18/2014,,,read,,,,1,,,0,,,,,
15818127,"Big Nate Flips Out (Big Nate Novels, #5)",Lincoln Peirce,"Peirce, Lincoln",,0061996645,9780061996641,3,4.45,HarperCollins,Hardcover,224,2013,2013,,7/18/2014,,,read,,,,1,,,0,,,,,
12875180,Big Nate and Friends,Lincoln Peirce,"Peirce, Lincoln",,1449420435,9781449420437,3,4.4,Andrews McMeel Publishing,Paperback,224,2011,2011,,7/18/2014,,,read,,,,1,,,0,,,,,
8229399,"Big Nate Strikes Again (Big Nate Novels, #2)",Lincoln Peirce,"Peirce, Lincoln",,006194436X,9780061944369,3,4.24,HarperCollins,Hardcover,216,2010,2010,,7/18/2014,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,0307277674,9780307277671,3,3.82,Anchor,Paperback,489,2006,2003,7/18/2014,7/3/2014,,,read,,,,1,,,0,,,,,
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","John Tenniel, Martin Gardner",0451527747,9780451527745,4,4.07,Penguin Group (USA),Mass Market Paperback,239,2000,1871,7/3/2014,7/3/2014,,,read,,,,1,,,0,,,,,
6567017,"Will Grayson, Will Grayson",John Green,"Green, John",David Levithan,0525421580,9780525421580,3,3.8,Dutton Books,Hardcover,310,2010,2010,,5/18/2014,,,read,,,,1,,,0,,,,,
